frame_id,timestamp,valid,method,num_points,reprojection_error,h00,h01,h02,h10,h11,h12,h20,h21,h22
0,0.0,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
1,0.03333333333333333,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
2,0.06666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
3,0.1,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
4,0.13333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
5,0.16666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
6,0.2,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
7,0.23333333333333334,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
8,0.26666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
9,0.3,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
10,0.3333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
11,0.36666666666666664,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
12,0.4,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
13,0.43333333333333335,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
14,0.4666666666666667,1,id_template,15,0.020529568195343018,0.0026602577796203367,0.0014700447018234683,-2.0730370788570758,1.173459205130399e-06,0.0065372293621382745,-1.9923804304377675,2.1988707698664306e-05,0.0028093645359581415,1.0
15,0.5,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
16,0.5333333333333333,1,id_template,15,0.020529568195343018,0.0026602577796203367,0.0014700447018234683,-2.0730370788570758,1.173459205130399e-06,0.0065372293621382745,-1.9923804304377675,2.1988707698664306e-05,0.0028093645359581415,1.0
17,0.5666666666666667,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
18,0.6,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
19,0.6333333333333333,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
20,0.6666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
21,0.7,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
22,0.7333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
23,0.7666666666666667,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
24,0.8,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
25,0.8333333333333334,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
26,0.8666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
27,0.9,1,id_template,15,0.020093301311135292,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
28,0.9333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
29,0.9666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
30,1.0,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
31,1.0333333333333334,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
32,1.0666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
33,1.1,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
34,1.1333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
35,1.1666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
36,1.2,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
37,1.2333333333333334,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
38,1.2666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
39,1.3,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
40,1.3333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
41,1.3666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
42,1.4,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
43,1.4333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
44,1.4666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
45,1.5,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
46,1.5333333333333334,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
47,1.5666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
48,1.6,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
49,1.6333333333333333,1,id_template,15,0.020555082708597183,0.0026713261479445497,0.0014759934413125994,-2.084875682255409,1.6444367007683373e-06,0.006555812369749759,-1.9986502543066278,2.2768978608961633e-05,0.0028200591323552494,1.0
50,1.6666666666666667,1,id_template,15,0.020555082708597183,0.0026713261479445497,0.0014759934413125994,-2.084875682255409,1.6444367007683373e-06,0.006555812369749759,-1.9986502543066278,2.2768978608961633e-05,0.0028200591323552494,1.0
51,1.7,1,id_template,15,0.020555082708597183,0.0026713261479445497,0.0014759934413125994,-2.084875682255409,1.6444367007683373e-06,0.006555812369749759,-1.9986502543066278,2.2768978608961633e-05,0.0028200591323552494,1.0
52,1.7333333333333334,1,id_template,15,0.020555082708597183,0.0026713261479445497,0.0014759934413125994,-2.084875682255409,1.6444367007683373e-06,0.006555812369749759,-1.9986502543066278,2.2768978608961633e-05,0.0028200591323552494,1.0
53,1.7666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
54,1.8,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
55,1.8333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
56,1.8666666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
57,1.9,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
58,1.9333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
59,1.9666666666666666,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
60,2.0,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
61,2.033333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
62,2.066666666666667,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
63,2.1,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
64,2.1333333333333333,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
65,2.1666666666666665,1,id_template,15,0.020483458414673805,0.0026553260522868645,0.0014614754474317768,-2.067188593397652,1.094440902785253e-06,0.006520071581722824,-1.9869118707364526,2.1738929194647723e-05,0.002798876322222067,1.0
