frame_id,timestamp,source,object_type,object_id,x,y,w,h,confidence,track_id
0,0.0,tracknet,ball,ball,,,,,0.0,
1,0.03333333333333333,tracknet,ball,ball,,,,,0.0,
2,0.06666666666666667,tracknet,ball,ball,,,,,0.0,
3,0.1,tracknet,ball,ball,,,,,0.0,
4,0.13333333333333333,tracknet,ball,ball,,,,,0.0,
5,0.16666666666666666,tracknet,ball,ball,,,,,0.0,
6,0.2,tracknet,ball,ball,,,,,0.0,
7,0.23333333333333334,tracknet,ball,ball,,,,,0.0,
8,0.26666666666666666,tracknet,ball,ball,,,,,0.0,
9,0.3,tracknet,ball,ball,,,,,0.0,
10,0.3333333333333333,tracknet,ball,ball,,,,,0.0,
11,0.36666666666666664,tracknet,ball,ball,,,,,0.0,
12,0.4,tracknet,ball,ball,,,,,0.0,
13,0.43333333333333335,tracknet,ball,ball,,,,,0.0,
14,0.4666666666666667,tracknet,ball,ball,,,,,0.0,
15,0.5,tracknet,ball,ball,,,,,0.0,
16,0.5333333333333333,tracknet,ball,ball,,,,,0.0,
17,0.5666666666666667,tracknet,ball,ball,,,,,0.0,
18,0.6,tracknet,ball,ball,,,,,0.0,
19,0.6333333333333333,tracknet,ball,ball,,,,,0.0,
20,0.6666666666666666,tracknet,ball,ball,,,,,0.0,
21,0.7,tracknet,ball,ball,,,,,0.0,
22,0.7333333333333333,tracknet,ball,ball,,,,,0.0,
23,0.7666666666666667,tracknet,ball,ball,,,,,0.0,
24,0.8,tracknet,ball,ball,,,,,0.0,
25,0.8333333333333334,tracknet,ball,ball,,,,,0.0,
26,0.8666666666666667,tracknet,ball,ball,,,,,0.0,
27,0.9,tracknet,ball,ball,,,,,0.0,
28,0.9333333333333333,tracknet,ball,ball,,,,,0.0,
29,0.9666666666666667,tracknet,ball,ball,,,,,0.0,
30,1.0,tracknet,ball,ball,,,,,0.0,
31,1.0333333333333334,tracknet,ball,ball,,,,,0.0,
32,1.0666666666666667,tracknet,ball,ball,,,,,0.0,
33,1.1,tracknet,ball,ball,,,,,0.0,
34,1.1333333333333333,tracknet,ball,ball,,,,,0.0,
35,1.1666666666666667,tracknet,ball,ball,,,,,0.0,
36,1.2,tracknet,ball,ball,,,,,0.0,
37,1.2333333333333334,tracknet,ball,ball,,,,,0.0,
38,1.2666666666666666,tracknet,ball,ball,,,,,0.0,
39,1.3,tracknet,ball,ball,,,,,0.0,
40,1.3333333333333333,tracknet,ball,ball,,,,,0.0,
41,1.3666666666666667,tracknet,ball,ball,,,,,0.0,
42,1.4,tracknet,ball,ball,,,,,0.0,
43,1.4333333333333333,tracknet,ball,ball,,,,,0.0,
44,1.4666666666666666,tracknet,ball,ball,,,,,0.0,
